MasterFile,KABCO_Mod,Mode,Disadvantaged Com ID,MannerofCollision_Real,CollisionDate,CollisionTime,ParkingLotIndicator,IntersectionWith_Indicator_,Milepoint,NumberInjured,NumberKilled,ofUnits,ofMotorVeh,Hit&RunIndicator,OneWayIndicator,InCityLimitsIndicator,Latitude,Longitude,MannerofCollisionCode,TotalLanes,RoadwayCharacterCode,RoadwaySurfaceCode,RoadwayConditionCode,WeatherCode,LightConditionCode,FirstAidSceneIndicator,TimeNotified,TimeArrived,MedianCros,YR,KABCO,Motorcyclist,CommercialVehicle,YoungDriver,MatureDriver,Pedestrian,Bicyclist,Distracted,agressive,Impaired,Unrestrain,RoadwayDep,MedXover
72393546,O,Motor Vehicle,DAC,ANGLE,20190815,1205.0,N,Y,0.022,0,0,2,2.0,N,N,Y,37.62004,-84.77463,1.0,5.0,4.0,1.0,1.0,2.0,2.0,N,1205,1210,N,2019.0,O,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0
72393557,O,Motor Vehicle,DAC,,20190815,1320.0,N,Y,4.942,0,0,2,2.0,N,N,Y,37.63872,-84.77314,1.0,2.0,6.0,1.0,1.0,2.0,2.0,N,1320,1325,N,2019.0,O,0,0,0,0,0,0,1,1,0,0.0,0.0,0.0
72393895,O,Motor Vehicle,DAC,REAR END,20190816,550.0,N,N,3.462,0,0,2,2.0,N,N,Y,37.61768,-84.77465,5.0,6.0,6.0,1.0,1.0,2.0,5.0,N,550,555,N,2019.0,O,0,0,1,0,0,0,1,0,0,0.0,0.0,0.0
72393915,B,Motor Vehicle,Non DAC,,20190814,1516.0,N,Y,3.744,1,0,2,2.0,N,N,Y,37.65549,-84.7993,1.0,2.0,6.0,1.0,1.0,2.0,2.0,Y,1516,1519,N,2019.0,B,0,0,0,1,0,0,1,0,0,0.0,0.0,0.0
72394269,C,Motor Vehicle,Non DAC,,20190816,2000.0,N,N,15.843,2,0,2,2.0,N,N,Y,37.66598,-84.73764,3.0,2.0,1.0,1.0,1.0,2.0,2.0,Y,1938,1939,N,2019.0,C,0,0,0,0,0,0,1,0,0,0.0,1.0,0.0
72394305,O,Motor Vehicle,Non DAC,,20190815,2318.0,N,Y,2.261,0,0,2,2.0,N,N,Y,37.67749,-84.76426,5.0,2.0,6.0,1.0,1.0,2.0,5.0,N,2319,2327,N,2019.0,O,0,0,0,0,0,0,1,1,0,0.0,0.0,0.0
72394595,O,Motor Vehicle,DAC,,20190816,1536.0,N,Y,0.001,0,0,2,2.0,N,N,Y,37.64563,-84.76985,1.0,2.0,6.0,1.0,1.0,2.0,2.0,N,1539,1540,N,2019.0,O,0,0,0,1,0,0,0,1,0,0.0,0.0,0.0
72394950,O,Motor Vehicle,DAC,,20190815,738.0,N,Y,13.909,0,0,2,2.0,N,N,Y,37.64432,-84.76654,5.0,2.0,6.0,1.0,1.0,2.0,2.0,N,721,726,N,2019.0,O,0,0,0,0,0,0,1,1,0,0.0,0.0,0.0
72395414,O,Motor Vehicle,Non DAC,,20190819,1730.0,N,Y,12.206,0,0,2,2.0,N,N,Y,37.64848,-84.80518,4.0,2.0,6.0,1.0,1.0,2.0,2.0,N,1732,1735,N,2019.0,O,0,0,1,1,0,0,0,1,0,0.0,0.0,0.0
72395873,O,Pedestrian,DAC,,20190820,1752.0,N,Y,5.523,0,0,2,1.0,N,N,Y,37.64594,-84.77403,9.0,2.0,6.0,1.0,1.0,3.0,3.0,Y,1752,1752,N,2019.0,O,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0
